GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine
roadNet-PA,MPLP,1088092,1541898,0.288888,5.46076,30607,0.901742,25,0,137,0,0,36,LL,0,0
333SP,PLP,3712815,11108633,0.944888,33.5915,63271,0.856698,25,0,924,0,0,36,LL,0,0
333SP,MPLP,3712815,11108633,0.979301,18.2337,61163,0.85615,25,0,486,0,0,36,LL,0,0
M6,PLP,3501776,10501936,0.768849,24.2812,92292,0.812813,25,0,749,0,0,36,LL,0,0
AS365,PLP,3799275,11368076,0.786799,27.8668,94372,0.820641,25,0,763,0,0,36,LL,0,0
uk-2002,PLP,18520486,261787258,4.98352,175.817,248045,0.960642,25,0,4926,0,0,36,LL,0,0
NACA0015,PLP,1039183,3114818,0.26605,8.46909,27675,0.811971,25,0,221,0,0,36,LL,0,0
nlpkkt200,PLP,16240000,215992816,77.0176,2748.51,2654647,0.370874,25,0,76981,0,0,36,LL,0,0
NACA0015,MPLP,1039183,3114818,0.342105,7.60959,26040,0.817208,25,0,160,0,0,36,LL,0,0
M6,MPLP,3501776,10501936,0.902073,16.8862,88132,0.816633,25,0,349,0,0,36,LL,0,0
AS365,MPLP,3799275,11368076,0.968566,18.7403,93523,0.821075,25,0,437,0,0,36,LL,0,0
uk-2002,MPLP,18520486,261787258,3.36335,46.9939,249051,0.960561,25,0,1169,0,0,36,LL,0,0
Oregon-2,PLP,11806,32730,0.0479744,1.0167,400,0.143677,25,0,40,0,0,36,LL,0,0
NLR,PLP,4163763,12487976,1.2796,45.4165,105172,0.817027,25,0,1252,0,0,36,LL,0,0
nlpkkt200,MPLP,16240000,215992816,20.6555,677.317,2596388,0.381841,25,0,18826,0,0,36,LL,0,0
Oregon-2,MPLP,11806,32730,0.0580233,0.955783,377,0.0983561,25,0,12,0,0,36,LL,0,0
NLR,MPLP,4163763,12487976,0.973839,17.7215,104559,0.81684,25,0,453,0,0,36,LL,0,0
belgium,PLP,1441295,1549970,0.278913,9.71402,29995,0.950196,25,0,256,0,0,36,LL,0,0
